asset_id,name,name_en,name_ms,category,osm_category,osm_type,osm_id,lat,lon,state,state_code,district,district_code,website,phone,opening_hours,fee,wheelchair
OSM_node_4234717089,CHSL CH 0,,,Attraction,tourism=attraction,node,4234717089,1.394973,103.620292,Johor,01,Johor Bahru,02,,,,,
OSM_node_13409743701,Eco Tourism Kampung Sungai Melayu Eco Tourism ( PELANCONGAN) Kampung Sungai Melayu,,,Attraction,tourism=attraction,node,13409743701,1.454876,103.691439,Johor,01,Johor Bahru,02,,,,,
OSM_node_11078607495,Elephant rock,,,Attraction,tourism=attraction,node,11078607495,1.635804,103.735142,Johor,01,Johor Bahru,02,,,,,
OSM_node_5462566821,Even here somewhere,,,Attraction,tourism=attraction,node,5462566821,1.45658,103.762555,Johor,01,Johor Bahru,02,,,,,
OSM_way_1041671494,Forest City Maze,Forest City Maze,,Attraction,tourism=attraction,way,1041671494,1.333971,103.588049,Johor,01,Johor Bahru,02,,,,,
OSM_node_11461074169,GT Karting,,,Attraction,tourism=attraction,node,11461074169,1.554301,103.794907,Johor,01,Johor Bahru,02,,,,,
OSM_way_1550338443,Iskandar Puteri Sign,,,Attraction,tourism=attraction,way,1550338443,1.451041,103.652697,Johor,01,Johor Bahru,02,,,,,
OSM_node_4348205089,JB 美乐 面线,,,Attraction,tourism=attraction,node,4348205089,1.533,103.793879,Johor,01,Johor Bahru,02,,,,,
OSM_way_883063464,Johor Bahru Night Market,,,Attraction,tourism=attraction,way,883063464,1.506211,103.729023,Johor,01,Johor Bahru,02,,,,,
OSM_node_4087248494,Kampung Sungai Melayu,,Kampung Sungai Melayu,Attraction,tourism=attraction,node,4087248494,1.452128,103.692873,Johor,01,Johor Bahru,02,,,,,
OSM_node_3133247377,Little Big Club,,,Attraction,tourism=attraction,node,3133247377,1.416707,103.656996,Johor,01,Johor Bahru,02,,,,,
OSM_node_5884004387,Monday Night Market,Night Market,,Attraction,tourism=attraction,node,5884004387,1.516365,103.821307,Johor,01,Johor Bahru,02,,,Mo 16:30-23:00,,
OSM_node_11145448105,Permas Go-Kart,,,Attraction,tourism=attraction,node,11145448105,1.535978,103.852677,Johor,01,Johor Bahru,02,,,,,
OSM_node_11145697605,RUD Karting Medini,,,Attraction,tourism=attraction,node,11145697605,1.405086,103.625672,Johor,01,Johor Bahru,02,,,,,
OSM_way_621691336,Royal Crown Arch,,,Attraction,tourism=attraction,way,621691336,1.482278,103.722493,Johor,01,Johor Bahru,02,,,,,
OSM_node_11383217664,Sarang Buaya Pasir Gudang,,,Attraction,tourism=attraction,node,11383217664,1.442535,103.998521,Johor,01,Johor Bahru,02,,,,,
OSM_node_13238212103,Seri Alam tunnel,,,Attraction,tourism=attraction,node,13238212103,1.527384,103.853101,Johor,01,Johor Bahru,02,,,,,
OSM_node_10914091290,Staircase to heaven,,,Attraction,tourism=attraction,node,10914091290,1.334329,103.594296,Johor,01,Johor Bahru,02,,,,,
OSM_way_1041724143,Tan Hiok Nee Heritage Walk,,,Attraction,tourism=attraction,way,1041724143,1.456637,103.764032,Johor,01,Johor Bahru,02,,,,,
OSM_node_4867399321,Unnamed Attraction,,,Attraction,tourism=attraction,node,4867399321,1.417312,103.658723,Johor,01,Johor Bahru,02,,,,,
OSM_node_13527850101,Zero Kilometre (0 KM) of Peninsular Malaysia,,,Attraction,tourism=attraction,node,13527850101,1.455607,103.761981,Johor,01,Johor Bahru,02,,,,,
OSM_node_7033606987,amigos horse riding,,,Attraction,tourism=attraction,node,7033606987,1.441447,103.93812,Johor,01,Johor Bahru,02,https://www.amigoshorseriding.com/,+6012 7966 806,"Tu-Su 07:00-12:00, 14:30-19:00",,
OSM_node_5573564221,little india,,,Attraction,tourism=attraction,node,5573564221,1.458974,103.763897,Johor,01,Johor Bahru,02,,,,,
OSM_way_1453242624,Stulang Beach,,Pantai Stulang,Beach,natural=beach,way,1453242624,1.467494,103.779534,Johor,01,Johor Bahru,02,,,,,
OSM_way_287939603,Unnamed Beach,,,Beach,natural=beach,way,287939603,1.315629,103.610244,Johor,01,Johor Bahru,02,,,,,
OSM_way_450546873,Unnamed Beach,,,Beach,natural=beach,way,450546873,1.463914,103.725981,Johor,01,Johor Bahru,02,,,,,
OSM_relation_13939150,Unnamed Beach,,,Beach,natural=beach,relation,13939150,1.337977,103.589082,Johor,01,Johor Bahru,02,,,,,
OSM_way_397739666,Istana Bukit Serene,,,Historic Site (Castle),historic=castle,way,397739666,1.479797,103.726369,Johor,01,Johor Bahru,02,,,,,
OSM_node_10718051505,Dataran Mahkota,,,Historic Site (Memorial),historic=memorial,node,10718051505,1.422618,103.6518,Johor,01,Johor Bahru,02,,,,,
OSM_way_1041660109,I❤MALAYSIA,,,Historic Site (Memorial),historic=memorial,way,1041660109,1.332558,103.588419,Johor,01,Johor Bahru,02,,,,,
OSM_node_10719628808,Masjid Al-Makmur Taman Kobena,,,Historic Site (Memorial),historic=memorial,node,10719628808,1.503381,103.696568,Johor,01,Johor Bahru,02,,,,,
OSM_node_12969633801,Nirvana Memorial Center (Skudai),,,Historic Site (Memorial),historic=memorial,node,12969633801,1.525922,103.65626,Johor,01,Johor Bahru,02,,,,,
OSM_node_8175332117,Nirvana Memorial Park Tiram Johor,,,Historic Site (Memorial),historic=memorial,node,8175332117,1.585234,103.911909,Johor,01,Johor Bahru,02,,,,,
OSM_node_12152113915,Datuk Gong,,,Historic Site (Wayside Shrine),historic=wayside_shrine,node,12152113915,1.510989,103.650217,Johor,01,Johor Bahru,02,,,,,
OSM_node_13229928798,Unnamed Historic Site (Wayside Shrine),,,Historic Site (Wayside Shrine),historic=wayside_shrine,node,13229928798,1.522596,103.855393,Johor,01,Johor Bahru,02,,,,,
OSM_way_1383693100,Galeri Penjara Ayer Molek,,,Museum,tourism=museum,way,1383693100,1.463176,103.756776,Johor,01,Johor Bahru,02,,,,,
OSM_way_285861174,Istana Besar,,,Museum,tourism=museum,way,285861174,1.455045,103.756438,Johor,01,Johor Bahru,02,,,,,
OSM_node_9590275022,Johor Bahru Chinese Heritage Museum,,,Museum,tourism=museum,node,9590275022,1.456024,103.763277,Johor,01,Johor Bahru,02,,,,,
OSM_node_5253879660,Kite Museum Pasir Gudang,,,Museum,tourism=museum,node,5253879660,1.474044,103.906061,Johor,01,Johor Bahru,02,,,,,
OSM_node_6746284985,Kwong Siew Heritage Gallery,,,Museum,tourism=museum,node,6746284985,1.459075,103.766265,Johor,01,Johor Bahru,02,,,,,
