asset_id,asset_name,category,state,district,lat,lon,nearest_road_name,nearest_road_ref,nearest_road_type,distance_to_road_m,distance_to_road_km,nearest_motorway_name,distance_to_motorway_km,nearest_trunk_name,distance_to_trunk_km,road_access_tier
OSM_node_11752587778,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.849539,102.955623,Jalan Kluang,50,Trunk,1142.5,1.143,Lebuhraya Utara–Selatan,19.312,Jalan Kluang,1.142,Limited Access
OSM_node_11753342774,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.845269,102.962049,Jalan Tanjung Laboh,5,Trunk,1850.2,1.85,Lebuhraya Utara–Selatan,19.336,Jalan Tanjung Laboh,1.85,Limited Access
OSM_node_12150871537,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.995546,102.89599,Jalan Kangkar Senangar,J128,Primary,2165.8,2.166,Lebuhraya Utara–Selatan,8.482,Jalan Kluang,16.052,Low Access
OSM_node_11957999308,Jerai Waterfall,Waterfall,Johor,Batu Pahat,2.112311,102.919402,Lebuhraya Utara–Selatan,E2,Motorway,1547.7,1.548,Lebuhraya Utara–Selatan,1.548,Jalan Labis-Yong Peng,13.512,Limited Access
OSM_node_11166136463,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.960143,102.908851,Jalan Muar-Yong Peng,24,Primary,1365.1,1.365,Lebuhraya Utara–Selatan,12.506,Jalan Kluang,11.883,Limited Access
OSM_node_11752698249,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.837816,102.963701,Jalan Tanjung Laboh,5,Trunk,1546.2,1.546,Lebuhraya Utara–Selatan,19.96,Jalan Tanjung Laboh,1.546,Limited Access
OSM_node_11754633606,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.842273,102.966533,Jalan Tanjung Laboh,5,Trunk,2063.1,2.063,Lebuhraya Utara–Selatan,19.375,Jalan Tanjung Laboh,2.063,Low Access
OSM_node_11754799911,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.843432,102.972938,Jalan Kluang,50,Trunk,2378.1,2.378,Lebuhraya Utara–Selatan,18.926,Jalan Kluang,2.378,Low Access
OSM_node_11754799944,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.847057,102.978531,Jalan Kluang,50,Trunk,2233.9,2.234,Lebuhraya Utara–Selatan,18.287,Jalan Kluang,2.234,Low Access
OSM_node_11756388290,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.826349,102.967319,Jalan Tanjung Laboh,5,Trunk,1501.3,1.501,Lebuhraya Utara–Selatan,20.896,Jalan Tanjung Laboh,1.501,Limited Access
OSM_node_11752751644,Waterfall (1),Waterfall,Johor,Batu Pahat,1.842562,102.965487,Jalan Tanjung Laboh,5,Trunk,1980.3,1.98,Lebuhraya Utara–Selatan,19.404,Jalan Tanjung Laboh,1.98,Limited Access
OSM_way_692975515,SEA LIFE Malaysia,Aquarium,Johor,Johor Bahru,1.427712,103.63166,Lebuhraya Pesisir Pantai Iskandar,52,Trunk,561.6,0.562,Lebuhraya Hubungan Kedua,2.602,Lebuhraya Pesisir Pantai Iskandar,0.562,Good Access
OSM_way_285845913,Bangunan Sultan Ibrahim,Attraction,Johor,Johor Bahru,1.457815,103.761133,Jalan Ibrahim,,Primary,279.9,0.28,Jalan Stulang Darat,1.505,Pintu Masuk ke JB CIQ (Motosikal),0.663,Very Close
OSM_node_4226469389,Berjaya Waterfront Food Truck Park,Attraction,Johor,Johor Bahru,1.469119,103.78196,Jalan Stulang Darat,J5,Primary,582.1,0.582,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,0.59,Jalan Stulang Darat,0.839,Good Access
OSM_node_4234717089,CHSL CH 0,Attraction,Johor,Johor Bahru,1.394973,103.620292,Unnamed Primary,,Primary,580.7,0.581,Lebuhraya Hubungan Kedua,2.675,Lebuh Kota Iskandar,2.977,Good Access
OSM_node_13409743701,Eco Tourism Kampung Sungai Melayu Eco Tourism ( PELANCONGAN) Kampung Sungai Melayu,Attraction,Johor,Johor Bahru,1.454876,103.691439,Lebuhraya Pesisir Pantai Iskandar,52,Trunk,1696.0,1.696,Lebuhraya Hubungan Kedua (Laluan Pontian–Taman Johor Bahru),4.268,Lebuhraya Pesisir Pantai Iskandar,1.696,Limited Access
OSM_node_11078607495,Elephant rock,Attraction,Johor,Johor Bahru,1.635804,103.735142,Senai–Desaru Expressway,E22,Motorway,1689.9,1.69,Senai–Desaru Expressway,1.69,Bulatan Airport,7.977,Limited Access
OSM_node_5462566821,Even here somewhere,Attraction,Johor,Johor Bahru,1.45658,103.762555,Jalan Ibrahim,,Primary,102.4,0.102,Jalan Stulang Darat,1.528,Pintu Masuk ke JB CIQ (Motosikal),0.556,Very Close
OSM_way_1041671494,Forest City Maze,Attraction,Johor,Johor Bahru,1.333971,103.588049,Jalan Forest City Selatan,,Primary,364.1,0.364,Lebuhraya Hubungan Kedua,4.544,Lebuhraya Tanjung Pelepas,4.648,Very Close
OSM_node_11461074169,GT Karting,Attraction,Johor,Johor Bahru,1.554301,103.794907,Jalan Kota Tinggi,3,Trunk,714.0,0.714,Senai–Desaru Expressway,3.96,Jalan Kota Tinggi,0.714,Good Access
OSM_way_1550338443,Iskandar Puteri Sign,Attraction,Johor,Johor Bahru,1.451041,103.652697,Lebuhraya Bukit Indah,,Trunk,95.8,0.096,Lebuhraya Hubungan Kedua (Laluan Pontian–Taman Johor Bahru),3.219,Lebuhraya Bukit Indah,0.096,Direct Access
OSM_node_4348205089,JB 美乐 面线,Attraction,Johor,Johor Bahru,1.533,103.793879,Jalan Rosmerah Utama,,Primary,135.0,0.135,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,3.53,Lebuhraya Pasir Gudang,0.412,Very Close
OSM_way_883063464,Johor Bahru Night Market,Attraction,Johor,Johor Bahru,1.506211,103.729023,Jalan Tampoi,3374,Primary,387.5,0.388,Lebuhraya Utara–Selatan,3.436,Lebuhraya Pasir Gudang,1.303,Very Close
OSM_node_4087248494,Kampung Sungai Melayu,Attraction,Johor,Johor Bahru,1.452128,103.692873,Lebuhraya Pesisir Pantai Iskandar,52,Trunk,2007.6,2.008,Lebuhraya Hubungan Kedua (Laluan Pontian–Taman Johor Bahru),4.61,Lebuhraya Pesisir Pantai Iskandar,2.008,Low Access
OSM_node_3133247377,Little Big Club,Attraction,Johor,Johor Bahru,1.416707,103.656996,Lebuh Kota Iskandar,,Trunk,1231.4,1.231,Lebuhraya Hubungan Kedua,5.613,Lebuh Kota Iskandar,1.231,Limited Access
OSM_node_5884004387,Monday Night Market,Attraction,Johor,Johor Bahru,1.516365,103.821307,Lebuhraya Pasir Gudang,17,Trunk,261.7,0.262,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,4.834,Lebuhraya Pasir Gudang,0.262,Very Close
OSM_node_11145448105,Permas Go-Kart,Attraction,Johor,Johor Bahru,1.535978,103.852677,Jalan Masai Lama,J10,Primary,3383.8,3.384,Senai–Desaru Expressway,4.105,Lebuhraya Pasir Gudang,3.402,Low Access
OSM_node_11145697605,RUD Karting Medini,Attraction,Johor,Johor Bahru,1.405086,103.625672,Persiaran Medini 2,,Primary,26.6,0.027,Lebuhraya Hubungan Kedua,3.352,Lebuh Kota Iskandar,1.718,Direct Access
OSM_way_621691336,Royal Crown Arch,Attraction,Johor,Johor Bahru,1.482278,103.722493,Persiaran Abu Bakar Sultan,J1,Trunk,41.2,0.041,Lebuhraya Pasir Gudang,5.208,Persiaran Abu Bakar Sultan,0.041,Direct Access
OSM_node_11383217664,Sarang Buaya Pasir Gudang,Attraction,Johor,Johor Bahru,1.442535,103.998521,Jalan Persiaran Tanjung Langsat,,Primary,4368.4,4.368,Lebuhraya Senai Desaru,4.853,Lebuhraya Pasir Gudang,12.357,Low Access
OSM_node_13238212103,Seri Alam tunnel,Attraction,Johor,Johor Bahru,1.527384,103.853101,Jalan Masai Lama,J10,Primary,2482.7,2.483,Senai–Desaru Expressway,5.058,Lebuhraya Pasir Gudang,2.505,Low Access
OSM_node_10914091290,Staircase to heaven,Attraction,Johor,Johor Bahru,1.334329,103.594296,Jalan Forest City Selatan,,Primary,674.4,0.674,Lebuhraya Hubungan Kedua,4.046,Lebuhraya Tanjung Pelepas,5.067,Good Access
OSM_way_1041724143,Tan Hiok Nee Heritage Walk,Attraction,Johor,Johor Bahru,1.456637,103.764032,Jalan Ibrahim,,Primary,47.6,0.048,Jalan Stulang Darat,1.447,Pintu Masuk ke JB CIQ (Motosikal),0.392,Direct Access
OSM_node_4867399321,Unnamed Attraction,Attraction,Johor,Johor Bahru,1.417312,103.658723,Lebuh Kota Iskandar,,Trunk,1371.8,1.372,Lebuhraya Hubungan Kedua,5.744,Lebuh Kota Iskandar,1.372,Limited Access
OSM_node_13527850101,Zero Kilometre (0 KM) of Peninsular Malaysia,Attraction,Johor,Johor Bahru,1.455607,103.761981,Jalan Ibrahim,,Primary,19.0,0.019,Jalan Stulang Darat,1.654,Pintu Masuk ke JB CIQ (Motosikal),0.637,Direct Access
OSM_node_7033606987,amigos horse riding,Attraction,Johor,Johor Bahru,1.441447,103.93812,Jalan Pekeliling,,Primary,922.1,0.922,Lebuhraya Senai Desaru,3.573,Lebuhraya Pasir Gudang,5.954,Good Access
OSM_node_5573564221,little india,Attraction,Johor,Johor Bahru,1.458974,103.763897,Jalan Wong Ah Fook,,Primary,97.2,0.097,Jalan Stulang Darat,1.224,Pintu Masuk ke JB CIQ (Motosikal),0.334,Direct Access
OSM_way_1453242624,Stulang Beach,Beach,Johor,Johor Bahru,1.467494,103.779534,Jalan Stulang Darat,J5,Primary,550.5,0.55,Johor Bahru Eastern Dispersal Link Expressway,0.564,Jalan Stulang Darat,0.626,Good Access
OSM_way_287939603,Unnamed Beach,Beach,Johor,Johor Bahru,1.315629,103.610244,Jalan Forest City Selatan,,Primary,3370.4,3.37,Laluan Kedua Malaysia–Singapura,4.643,Lebuhraya Tanjung Pelepas,7.796,Low Access
OSM_way_450546873,Unnamed Beach,Beach,Johor,Johor Bahru,1.463914,103.725981,Persiaran Abu Bakar Sultan,J1,Trunk,364.9,0.365,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,4.86,Persiaran Abu Bakar Sultan,0.365,Very Close
OSM_relation_13939150,Unnamed Beach,Beach,Johor,Johor Bahru,1.337977,103.589082,Jalan Forest City Selatan,,Primary,50.7,0.051,Lebuhraya Hubungan Kedua,4.149,Lebuhraya Tanjung Pelepas,4.378,Direct Access
OSM_way_397739666,Istana Bukit Serene,Historic Site (Castle),Johor,Johor Bahru,1.479797,103.726369,Persiaran Abu Bakar Sultan,J1,Trunk,286.0,0.286,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,4.946,Persiaran Abu Bakar Sultan,0.286,Very Close
OSM_node_10718051505,Dataran Mahkota,Historic Site (Memorial),Johor,Johor Bahru,1.422618,103.6518,Lebuh Kota Iskandar,,Trunk,444.7,0.445,Lebuhraya Hubungan Kedua,4.783,Lebuh Kota Iskandar,0.445,Very Close
