asset_id,asset_name,category,state,district,lat,lon,nearest_healthcare_name,nearest_healthcare_type,distance_to_healthcare_m,distance_to_healthcare_km,nearest_hospital_name,distance_to_hospital_km,nearest_clinic_name,distance_to_clinic_km,nearest_pharmacy_name,distance_to_pharmacy_km,healthcare_access_tier,hospital_access_tier
OSM_node_11751792303,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.814329,102.939687,Family Clinic Batu Pahat,Clinic,1921.6,1.922,Hospital Sultanah Nora Ismail,2.49,Family Clinic Batu Pahat,1.922,Mediwell Pharmacy,2.882,High Access,High Emergency Access
OSM_node_11752587778,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.849539,102.955623,NH Pharmarcy,Pharmacy,669.8,0.67,Happiness Traditional Chinese Medicine Centre,1.094,first spinal care and physiotherapy,0.933,NH Pharmarcy,0.67,High Access,High Emergency Access
OSM_node_11753342774,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.845269,102.962049,mediwell,Pharmacy,909.5,0.909,Happiness Traditional Chinese Medicine Centre,1.475,klinik perdana,1.24,mediwell,0.909,High Access,High Emergency Access
OSM_node_12150871537,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.995546,102.89599,Klinik Kesihatan Parit Sulong,Clinic,2624.4,2.624,Putra Specialist Hospital,15.542,Klinik Kesihatan Parit Sulong,2.624,Mediwell Pharmacy,14.482,Moderate Access,Limited Emergency Access
OSM_node_11957999308,Jerai Waterfall,Waterfall,Johor,Batu Pahat,2.112311,102.919402,Klinik Desa,Clinic,10057.4,10.057,Pantai Hospital Batu Pahat,28.055,Klinik Desa,10.057,Farmasi Sihat,17.012,Low Access,Limited Emergency Access
OSM_node_11166136463,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.960143,102.908851,Kelinik Jaya,Clinic,3365.0,3.365,Putra Specialist Hospital,11.436,Kelinik Jaya,3.365,Mediwell Pharmacy,10.328,Moderate Access,Moderate Emergency Access
OSM_node_11752698249,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.837816,102.963701,mediwell,Pharmacy,1221.1,1.221,Happiness Traditional Chinese Medicine Centre,1.685,klinik perdana,1.467,mediwell,1.221,High Access,High Emergency Access
OSM_node_11754633606,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.842273,102.966533,mediwell,Pharmacy,1383.5,1.383,Happiness Traditional Chinese Medicine Centre,1.932,klinik perdana,1.695,mediwell,1.384,High Access,High Emergency Access
OSM_node_11754799911,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.843432,102.972938,mediwell,Pharmacy,2092.5,2.092,Happiness Traditional Chinese Medicine Centre,2.649,klinik perdana,2.411,mediwell,2.092,Moderate Access,High Emergency Access
OSM_node_11754799944,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.847057,102.978531,KPJ Batu Pahat Specialist Hospital,Hospital,2734.5,2.735,KPJ Batu Pahat Specialist Hospital,2.734,klinik perdana,3.075,mediwell,2.748,Moderate Access,High Emergency Access
OSM_node_11756388290,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.826349,102.967319,Family Clinic Batu Pahat,Clinic,2028.9,2.029,Happiness Traditional Chinese Medicine Centre,2.67,Family Clinic Batu Pahat,2.029,mediwell,2.377,Moderate Access,High Emergency Access
OSM_node_11752751644,Waterfall (1),Waterfall,Johor,Batu Pahat,1.842562,102.965487,mediwell,Pharmacy,1265.2,1.265,Happiness Traditional Chinese Medicine Centre,1.816,klinik perdana,1.579,mediwell,1.265,High Access,High Emergency Access
OSM_way_692975515,SEA LIFE Malaysia,Aquarium,Johor,Johor Bahru,1.427712,103.63166,Unnamed Clinic,Clinic,219.5,0.22,Afiniti Wellness,0.365,Unnamed Clinic,0.22,Watsons,1.593,High Access,High Emergency Access
OSM_way_285845913,Bangunan Sultan Ibrahim,Attraction,Johor,Johor Bahru,1.457815,103.761133,Watsons,Pharmacy,490.6,0.491,Maria Hospital,0.923,Klinik Dr. Mahmud JB,0.544,Watsons,0.491,High Access,High Emergency Access
OSM_node_4226469389,Berjaya Waterfront Food Truck Park,Attraction,Johor,Johor Bahru,1.469119,103.78196,TMC Care Phaemacy,Pharmacy,452.0,0.452,Century Orthopaedic Specialist Clinic,2.446,Tan Eye Surgery & Laser Clinic,1.468,TMC Care Phaemacy,0.452,High Access,High Emergency Access
OSM_node_4234717089,CHSL CH 0,Attraction,Johor,Johor Bahru,1.394973,103.620292,Guardian,Pharmacy,1166.7,1.167,Afiniti Wellness,3.836,Unnamed Clinic,3.627,Guardian,1.167,High Access,High Emergency Access
OSM_node_13409743701,Eco Tourism Kampung Sungai Melayu Eco Tourism ( PELANCONGAN) Kampung Sungai Melayu,Attraction,Johor,Johor Bahru,1.454876,103.691439,Unnamed Clinic,Clinic,45.2,0.045,KPJ Johor Specialist Hospital,6.001,Unnamed Clinic,0.045,Farmasi U Life Pharmacy,2.979,High Access,Moderate Emergency Access
OSM_node_11078607495,Elephant rock,Attraction,Johor,Johor Bahru,1.635804,103.735142,Guardian,Pharmacy,5845.7,5.846,KLINIK LESTARI,8.032,Poliklinik A2,6.985,Guardian,5.846,Limited Access,Moderate Emergency Access
OSM_node_5462566821,Even here somewhere,Attraction,Johor,Johor Bahru,1.45658,103.762555,Watsons,Pharmacy,535.5,0.535,Maria Hospital,1.096,Klinik Dr. Mahmud JB,0.672,Watsons,0.536,High Access,High Emergency Access
OSM_way_1041671494,Forest City Maze,Attraction,Johor,Johor Bahru,1.333971,103.588049,Guardian,Pharmacy,8441.4,8.441,Afiniti Wellness,11.478,Unnamed Clinic,11.25,Guardian,8.441,Limited Access,Moderate Emergency Access
OSM_node_11461074169,GT Karting,Attraction,Johor,Johor Bahru,1.554301,103.794907,Guardian,Pharmacy,291.2,0.291,Sultan Ismail Hospital,0.841,Loh Kong Jin,0.42,Guardian,0.291,High Access,High Emergency Access
OSM_way_1550338443,Iskandar Puteri Sign,Attraction,Johor,Johor Bahru,1.451041,103.652697,Health Center,Clinic,897.5,0.897,Unnamed Hospital,3.298,Health Center,0.897,BIG Pharmacy,3.29,High Access,High Emergency Access
OSM_node_4348205089,JB 美乐 面线,Attraction,Johor,Johor Bahru,1.533,103.793879,JB Specialist Hospital,Hospital,345.8,0.346,JB Specialist Hospital,0.346,Theesan Clinic,1.575,CARiNG Pharmacy,0.598,High Access,High Emergency Access
OSM_way_883063464,Johor Bahru Night Market,Attraction,Johor,Johor Bahru,1.506211,103.729023,Klinik Ungku Mohsin Kita,Clinic,1537.4,1.537,KPJ Puteri Specialist Hospital,2.28,Klinik Ungku Mohsin Kita,1.537,Watsons,1.957,High Access,High Emergency Access
OSM_node_4087248494,Kampung Sungai Melayu,Attraction,Johor,Johor Bahru,1.452128,103.692873,Unnamed Clinic,Clinic,345.4,0.345,KPJ Johor Specialist Hospital,5.982,Unnamed Clinic,0.345,Farmasi U Life Pharmacy,3.315,High Access,Moderate Emergency Access
OSM_node_3133247377,Little Big Club,Attraction,Johor,Johor Bahru,1.416707,103.656996,Caring,Pharmacy,86.6,0.087,Unnamed Hospital,2.597,Unnamed Clinic,3.013,Caring,0.087,High Access,High Emergency Access
OSM_node_5884004387,Night Market,Attraction,Johor,Johor Bahru,1.516365,103.821307,Klinik Desa Pemas Jaya,Clinic,720.1,0.72,JB Specialist Hospital,3.325,Klinik Desa Pemas Jaya,0.72,Watsons,3.235,High Access,High Emergency Access
OSM_node_11145448105,Permas Go-Kart,Attraction,Johor,Johor Bahru,1.535978,103.852677,Hospital Pasir Gudang,Hospital,2591.7,2.592,Hospital Pasir Gudang,2.592,Klinik Desa Pemas Jaya,4.633,Caring,5.207,Moderate Access,High Emergency Access
OSM_node_11145697605,RUD Karting Medini,Attraction,Johor,Johor Bahru,1.405086,103.625672,Farmasi Ledang Health Pharmacy,Pharmacy,682.4,0.682,Afiniti Wellness,2.57,Unnamed Clinic,2.376,Farmasi Ledang Health Pharmacy,0.682,High Access,High Emergency Access
OSM_way_621691336,Royal Crown Arch,Attraction,Johor,Johor Bahru,1.482278,103.722493,Klinik Medcare Bandar Baru Uda,Clinic,1853.9,1.854,KPJ Johor Specialist Hospital,2.188,Klinik Medcare Bandar Baru Uda,1.854,Watsons,2.333,High Access,High Emergency Access
OSM_node_11383217664,Sarang Buaya Pasir Gudang,Attraction,Johor,Johor Bahru,1.442535,103.998521,Klinik Kesihatan,Clinic,7560.7,7.561,Hospital Penawar,10.928,Klinik Kesihatan,7.561,Guardian,15.01,Limited Access,Moderate Emergency Access
OSM_node_13238212103,Seri Alam tunnel,Attraction,Johor,Johor Bahru,1.527384,103.853101,Hospital Pasir Gudang,Hospital,1707.3,1.707,Hospital Pasir Gudang,1.707,Poliklinik Penawar,4.11,Caring,4.354,High Access,High Emergency Access
OSM_node_10914091290,Staircase to heaven,Attraction,Johor,Johor Bahru,1.334329,103.594296,Guardian,Pharmacy,8038.8,8.039,Afiniti Wellness,11.145,Unnamed Clinic,10.933,Guardian,8.039,Limited Access,Moderate Emergency Access
OSM_way_1041724143,Tan Hiok Nee Heritage Walk,Attraction,Johor,Johor Bahru,1.456637,103.764032,Watsons,Pharmacy,505.4,0.505,Maria Hospital,1.152,Klinik Dr. Mahmud JB,0.698,Watsons,0.505,High Access,High Emergency Access
OSM_node_4867399321,Unnamed Attraction,Attraction,Johor,Johor Bahru,1.417312,103.658723,Caring,Pharmacy,209.9,0.21,Unnamed Hospital,2.747,Health Center,3.129,Caring,0.21,High Access,High Emergency Access
OSM_node_13527850101,Zero Kilometre (0 KM) of Peninsular Malaysia,Attraction,Johor,Johor Bahru,1.455607,103.761981,Watsons,Pharmacy,658.0,0.658,Maria Hospital,1.182,Klinik Dr. Mahmud JB,0.778,Watsons,0.658,High Access,High Emergency Access
OSM_node_7033606987,amigos horse riding,Attraction,Johor,Johor Bahru,1.441447,103.93812,Klinik Kesihatan,Clinic,1071.5,1.071,Hospital Penawar,4.858,Klinik Kesihatan,1.071,Guardian,9.225,High Access,High Emergency Access
OSM_node_5573564221,little india,Attraction,Johor,Johor Bahru,1.458974,103.763897,Watsons,Pharmacy,246.7,0.247,Maria Hospital,0.918,Klinik Dr. Mahmud JB,0.451,Watsons,0.247,High Access,High Emergency Access
OSM_way_1453242624,Stulang Beach,Beach,Johor,Johor Bahru,1.467494,103.779534,TMC Care Phaemacy,Pharmacy,129.7,0.13,Maria Hospital,2.236,Tan Eye Surgery & Laser Clinic,1.491,TMC Care Phaemacy,0.13,High Access,High Emergency Access
OSM_way_287939603,Unnamed Beach,Beach,Johor,Johor Bahru,1.315629,103.610244,Guardian,Pharmacy,9305.1,9.305,Afiniti Wellness,12.57,Unnamed Clinic,12.42,Guardian,9.305,Limited Access,Moderate Emergency Access
OSM_way_450546873,Unnamed Beach,Beach,Johor,Johor Bahru,1.463914,103.725981,KPJ Johor Specialist Hospital,Hospital,2150.1,2.15,KPJ Johor Specialist Hospital,2.15,Faizal Women Specialist Clinic,3.717,Watsons,4.011,Moderate Access,High Emergency Access
OSM_relation_13939150,Unnamed Beach,Beach,Johor,Johor Bahru,1.337977,103.589082,Guardian,Pharmacy,8011.1,8.011,Afiniti Wellness,11.031,Unnamed Clinic,10.8,Guardian,8.011,Limited Access,Moderate Emergency Access
OSM_way_397739666,Istana Bukit Serene,Historic Site (Castle),Johor,Johor Bahru,1.479797,103.726369,KPJ Johor Specialist Hospital,Hospital,1695.6,1.696,KPJ Johor Specialist Hospital,1.696,Klinik Medcare Bandar Baru Uda,2.358,Watsons,2.573,High Access,High Emergency Access
