state,year,domestic_visitors,international_hotel_guests,domestic_receipts_rm_million,accommodation_rooms,accommodation_establishments,aor_pct,domestic_visitors_yoy_pct,international_hotel_guests_yoy_pct,receipts_yoy_pct,accommodation_rooms_yoy_pct,accommodation_establishments_yoy_pct,aor_change_pp
JOHOR,2019,14274.3642667527,2548685.0,7409.67789125131,34911.0,552.0,57.3,,,,,,
JOHOR,2020,7242.508,,2431.61988775028,,,,-0.49262132697082905,,-0.6718319037024105,,,
JOHOR,2021,3657.55,,1251.84930290302,,,,-0.4949884763675787,,-0.4851788681243172,,,
JOHOR,2022,12376.202,2039675.0,4888.35148006201,34294.0,535.0,48.3,2.3837410288307743,,2.9049041036536862,,,
JOHOR,2023,15804.89,3531649.0,6699.11884569231,35208.0,548.0,50.7,0.2770387878284468,0.7314763381421059,0.37042495266877373,0.026651892459322424,0.024299065420560817,2.4000000000000057
JOHOR,2024,17138.338,3003542.0,7814.41585763373,36043.0,552.0,52.3,0.08436933126393154,-0.14953552858735397,0.16648413584401212,0.023716200863440173,0.007299270072992803,1.5999999999999943
JOHOR,2025,18196.973,3250524.0,8722.92495205821,35799.0,553.0,54.2,0.061769991932706825,0.08223024682191893,0.11626065351218506,-0.006769691757067986,0.0018115942028984477,1.9000000000000057
KEDAH,2019,14831.1555133218,1583215.0,5208.13192969844,19640.0,328.0,55.7,,,,,,
KEDAH,2020,10108.084,,2272.69214593496,,,,-0.31845607101074436,,-0.5636262336260455,,,
KEDAH,2021,4023.002,,842.205404074748,,,,-0.6020015266988283,,-0.6294238946611601,,,
KEDAH,2022,11186.197,589439.0,3469.82268561478,17585.0,312.0,32.5,1.7805596417799445,,3.1199245087090697,,,
KEDAH,2023,13444.055,1561751.0,4206.61948328264,19029.0,330.0,43.4,0.20184321803022076,1.6495549157758478,0.2123442217155589,0.08211543929485354,0.05769230769230771,10.899999999999999
KEDAH,2024,14651.4879543306,1985063.0,4961.15023607227,18600.0,328.0,46.6,0.08981166428808862,0.2710496103412132,0.17936748398284652,-0.02254453728519623,-0.0060606060606061,3.200000000000003
KEDAH,2025,15607.884,2109996.0,5520.25004061484,18679.0,330.0,46.4,0.06527637661447994,0.06293654156064576,0.11269560040278237,0.004247311827956901,0.0060975609756097615,-0.20000000000000284
KELANTAN,2019,10985.6520100096,49211.0,4800.04103126423,5851.0,170.0,43.4,,,,,,
KELANTAN,2020,6058.183,,1555.12261713697,,,,-0.4485367828436516,,-0.6760188908786509,,,
KELANTAN,2021,1920.93,,477.222127559975,,,,-0.6829197797425399,,-0.6931289389652399,,,
KELANTAN,2022,6627.155,36969.0,2586.22406280686,6075.0,196.0,46.4,2.4499721489070394,,4.419329728129247,,,
KELANTAN,2023,7549.37,59273.0,3228.385093431,6269.0,169.0,41.2,0.13915699874229603,0.6033162920284563,0.24830061704986028,0.031934156378600864,-0.1377551020408163,-5.199999999999996
KELANTAN,2024,10514.411,102252.0,4540.61133613717,6362.0,170.0,43.2,0.3927534350548456,0.7251024918597,0.40646521549620585,0.014834901898229447,0.00591715976331364,2.0
KELANTAN,2025,12062.016,59329.0,5239.00827617872,6392.0,224.0,41.0,0.14718893906658193,-0.41977663028596013,0.15381121358774918,0.004715498270984053,0.3176470588235294,-2.200000000000003
MELAKA,2019,13978.9741697121,1465372.0,6369.89280746409,21540.0,354.0,51.7,,,,,,
MELAKA,2020,7274.547,,2372.6250612483,,,,-0.4796079517936601,,-0.6275251196585108,,,
MELAKA,2021,3878.14,,1004.11271080667,,,,-0.46688914100080736,,-0.5767925041311078,,,
MELAKA,2022,11757.166,536249.0,4842.59364655733,19343.0,350.0,40.1,2.0316507397876302,,3.8227590333628543,,,
MELAKA,2023,15558.661,1538630.0,6438.41105660879,19961.0,355.0,44.7,0.3233342967174233,1.8692454438143473,0.3295377490915328,0.03194954247014414,0.014285714285714235,4.600000000000001
MELAKA,2024,19128.405,1516524.0,7933.20647467174,20159.0,354.0,45.4,0.22943773889025532,-0.014367326777717793,0.23216837274292978,0.009919342718300639,-0.0028169014084507005,0.6999999999999957
MELAKA,2025,20832.201530282,1654330.0,8732.39649344146,20655.0,357.0,44.2,0.08907154204869672,0.0908696466392882,0.10073984854942131,0.024604395059278694,0.008474576271186418,-1.1999999999999957
NEGERI SEMBILAN,2019,13303.0418435376,459539.0,5071.03036849894,12892.0,166.0,51.9,,,,,,
NEGERI SEMBILAN,2020,7917.736,,2232.9800948256,,,,-0.4048176279437694,,-0.5596594907621155,,,
NEGERI SEMBILAN,2021,5485.17,,1213.38512045771,,,,-0.30722999604937573,,-0.4566072831238214,,,
NEGERI SEMBILAN,2022,11490.144,89048.0,3651.3406055165,11129.0,161.0,38.7,1.094765339998578,,2.009218214361448,,,
NEGERI SEMBILAN,2023,14959.47,340372.0,4777.28125500884,10643.0,161.0,41.0,0.3019392968443215,2.8223430060192256,0.3083636316456624,-0.043669691796208054,0.0,2.299999999999997
NEGERI SEMBILAN,2024,17784.532,459715.0,5869.462129308,10856.0,166.0,42.2,0.1888477332418863,0.35062519831243466,0.228619755881871,0.020013154185849924,0.03105590062111796,1.2000000000000028
NEGERI SEMBILAN,2025,19356.545,1030085.0,6529.26193925348,11527.0,174.0,46.1,0.08839214886284319,1.2407034793295848,0.11241231230556892,0.06180913780397934,0.04819277108433728,3.8999999999999986
PAHANG,2019,18497.5783549097,2754449.0,7600.74634258733,32664.0,501.0,79.4,,,,,,
PAHANG,2020,9905.002,,2748.04988629641,,,,-0.46452439287162284,,-0.6384499939303381,,,
PAHANG,2021,3404.772,,914.378229522129,,,,-0.6562573132241669,,-0.6672628709974218,,,
PAHANG,2022,13188.959,1689554.0,5316.78906097375,33780.0,500.0,46.1,2.87366878017089,,4.8146496595313755,,,
PAHANG,2023,16455.567,3212597.0,6733.34364809185,33387.0,503.0,74.1,0.24767747022338904,0.9014467723434705,0.26643046599608056,-0.011634103019538156,0.006000000000000005,27.999999999999993
PAHANG,2024,20173.876,2931858.0,8709.75913589491,34323.0,501.0,75.6,0.2259605518302712,-0.08738693337508563,0.2935266029921335,0.028034863869170534,-0.003976143141153132,1.5
PAHANG,2025,23161.166,2953226.0,9846.76892463924,34401.0,505.0,76.3,0.1480771469002784,0.007288211093443131,0.13054434353511013,0.0022725286251201737,0.007984031936127733,0.7000000000000028
PERAK,2019,21070.7209104421,293256.0,7824.05505390701,19063.0,481.0,43.9,,,,,,
PERAK,2020,13173.306,,3317.0693364196,,,,-0.37480515944418147,,-0.5760421784400415,,,
PERAK,2021,4489.273,,1159.53265234848,,,,-0.6592143991796744,,-0.6504346051445328,,,
PERAK,2022,14566.727,333306.0,4541.33101270089,18900.0,488.0,54.8,2.2447852915160205,,2.9165184382716816,,,
PERAK,2023,17107.518,867665.0,5641.02361320425,19763.0,487.0,47.3,0.17442428899779605,1.6032084630939738,0.24215204692805115,0.045661375661375736,-0.002049180327868827,-7.5
PERAK,2024,21776.217,970611.0,7223.79803827434,19299.0,481.0,46.9,0.272903351614185,0.11864717373640743,0.28058283985289556,-0.023478216869908364,-0.012320328542094416,-0.3999999999999986
PERAK,2025,23642.055,944578.0,8018.53798306468,19572.0,486.0,45.6,0.08568237540983348,-0.026821249707658423,0.1100169108520912,0.014145810663764857,0.01039501039501034,-1.2999999999999972
PERLIS,2019,2087.37244564133,5700.0,578.805530778065,1422.0,44.0,36.0,,,,,,
PERLIS,2020,1193.108,,224.066307262435,,,,-0.42841633150262937,,-0.6128815373252711,,,
PERLIS,2021,406.796,,78.0132972300273,,,,-0.6590451157816393,,-0.6518294152156703,,,
PERLIS,2022,1669.175,4709.0,455.618787502378,1297.0,41.0,42.0,3.103223728846891,,4.840270872784113,,,
PERLIS,2023,1950.771,6730.0,583.870113407444,1444.0,44.0,42.2,0.16870370093010023,0.429178169462731,0.2814882296845511,0.11333847340015413,0.07317073170731714,0.20000000000000284
PERLIS,2024,3225.428,8567.0,1002.81372997629,1489.0,44.0,41.0,0.6534119073945635,0.27295690936106975,0.7175287909906995,0.031163434903047182,0.0,-1.2000000000000028
PERLIS,2025,3755.682,8334.0,1211.20382670128,1553.0,46.0,41.7,0.1643980271765484,-0.027197385315746447,0.2078053884742055,0.04298186702484896,0.045454545454545414,0.7000000000000028
PULAU PINANG,2019,15410.6252310139,2848750.0,6653.65601165969,21247.0,376.0,56.5,,,,,,
PULAU PINANG,2020,8929.515,,2427.15888222993,,,,-0.42056114751078755,,-0.6352142524385629,,,
PULAU PINANG,2021,5060.864,,1158.8101313766,,,,-0.4332431268663528,,-0.522565193461108,,,
PULAU PINANG,2022,10002.735,1256628.0,3648.39930839687,20558.0,362.0,44.1,0.9764876116014976,,2.1484012864668176,,,
PULAU PINANG,2023,13127.587,2476959.0,5814.73535455749,25543.0,364.0,52.9,0.3123997586660048,0.971115556871246,0.5937771233468745,0.2424846774978111,0.005524861878453136,8.799999999999997
PULAU PINANG,2024,16604.803,3000488.0,7424.29144738457,26692.0,376.0,56.8,0.2648785340367579,0.21135957438132813,0.27680642276617773,0.04498296989390438,0.03296703296703307,3.8999999999999986
PULAU PINANG,2025,17717.979,3472459.0,8490.35816379311,28045.0,384.0,50.9,0.06703939817894855,0.15729807951239927,0.143591711608263,0.050689345122133966,0.02127659574468077,-5.899999999999999
SABAH,2019,22035.0674727792,3057376.0,8080.66670997202,28000.0,540.0,65.8,,,,,,
SABAH,2020,10336.897,,2676.77169855219,,,,-0.5308887974693255,,-0.6687437070942555,,,
SABAH,2021,3815.016,,1052.02211208469,,,,-0.6309321840006725,,-0.606981009006593,,,
SABAH,2022,12589.005,677103.0,4825.8695952754,27963.0,479.0,45.2,2.299856409514403,,3.58723209316622,,,
SABAH,2023,16080.074,2221221.0,6712.51460553787,26706.0,532.0,49.0,0.27731095507548065,2.2804772685987214,0.390944051225405,-0.044952258341379725,0.11064718162839249,3.799999999999997
SABAH,2024,20591.813,3135973.0,8634.24673303019,27208.0,540.0,51.6,0.28057949235805735,0.4118239472794467,0.2862909416847865,0.01879727402081932,0.015037593984962516,2.6000000000000014
SABAH,2025,22361.168,2900293.0,9753.3273839687,27254.0,544.0,54.1,0.08592516841523401,-0.07515370827491186,0.12960952883793375,0.0016906792119963931,0.007407407407407307,2.5
SARAWAK,2019,19793.3756868456,539599.0,8670.74332850991,28200.0,522.0,46.1,,,,,,
SARAWAK,2020,9393.255,,3384.67058146855,,,,-0.5254344105516764,,-0.6096447036623083,,,
SARAWAK,2021,6510.9,,1935.25867544385,,,,-0.3068536944860967,,-0.42822835225395117,,,
SARAWAK,2022,15464.621,618251.0,5430.77227763946,28752.0,495.0,57.4,1.375189451535118,,1.806225517316912,,,
SARAWAK,2023,17901.19,1218196.0,6942.67318117489,26592.0,503.0,46.0,0.15755762782676652,0.9703906665739319,0.27839519431895465,-0.07512520868113526,0.016161616161616266,-11.399999999999999
SARAWAK,2024,19625.552,1445113.0,7956.67071248269,27913.0,522.0,47.7,0.0963266687857065,0.18627298070261267,0.14605289703932223,0.04967659446450057,0.0377733598409542,1.7000000000000028
SARAWAK,2025,22721.527,1222481.0,9138.37553459759,28236.0,523.0,47.3,0.15775225073924037,-0.1540585407507925,0.14851749743281473,0.011571669114749383,0.0019157088122605526,-0.4000000000000057
SELANGOR,2019,33588.5269586995,1866153.0,15544.408509962,31987.0,460.0,56.4,,,,,,
SELANGOR,2020,19714.734,,7051.46346613165,,,,-0.41305154512309317,,-0.5463665625094352,,,
SELANGOR,2021,10211.58,,3158.5633823777,,,,-0.4820330824651248,,-0.5520698082676943,,,
SELANGOR,2022,21989.558,1572497.0,8734.80808554066,30850.0,439.0,53.7,1.1533942837445332,,1.7654370130021837,,,
SELANGOR,2023,27579.478,2787168.0,11102.7131520834,32656.0,444.0,49.9,0.25420792905432643,0.772447260630704,0.2710883906496466,0.05854132901134523,0.011389521640091216,-3.8000000000000043
SELANGOR,2024,34460.8280456694,3349909.0,14226.1256382058,34883.0,460.0,51.6,0.24950980020975733,0.20190422679938913,0.28131974980694685,0.06819573738363549,0.03603603603603611,1.7000000000000028
SELANGOR,2025,36376.442,3614885.0,15761.7254823629,35066.0,462.0,54.8,0.055588158003398114,0.07909946210479157,0.1079422383303772,0.005246108419574069,0.004347826086956497,3.1999999999999957
TERENGGANU,2019,14158.2836313106,179324.0,5990.01250659243,10730.0,256.0,41.3,,,,,,
TERENGGANU,2020,7419.729,,2254.5058315233,,,,-0.4759443168950577,,-0.6236225168074261,,,
TERENGGANU,2021,3719.052,,984.111528570248,,,,-0.4987617472282343,,-0.5634912472569147,,,
TERENGGANU,2022,10233.282,86846.0,3363.29891312298,10562.0,253.0,55.3,1.7515834680450824,,2.4175993426368043,,,
TERENGGANU,2023,11760.516,206327.0,4192.31725641659,10927.0,255.0,44.8,0.14924185613178653,1.3757801165281074,0.24648964148233476,0.03455784889225533,0.007905138339920903,-10.5
TERENGGANU,2024,14460.728,281579.0,5170.36305105575,11190.0,256.0,46.3,0.22959978966909267,0.3647220189311142,0.23329479493523597,0.024068820353253306,0.0039215686274509665,1.5
TERENGGANU,2025,15462.278,276786.0,5795.14407298498,11314.0,258.0,45.4,0.06925999852842835,-0.01702186597722133,0.1208389073958076,0.01108132260947281,0.0078125,-0.8999999999999986
W.P. KUALA LUMPUR,2019,22633.3676990154,10931619.0,12141.2336770866,61967.0,464.0,59.9,,,,,,
W.P. KUALA LUMPUR,2020,12434.908,,5273.1884382134,,,,-0.4505940006205553,,-0.5656793552894741,,,
W.P. KUALA LUMPUR,2021,9116.005,,3083.51714291348,,,,-0.2669020952949551,,-0.41524616860492836,,,
W.P. KUALA LUMPUR,2022,16912.534,4281244.0,7732.79579884474,55641.0,158.0,49.0,0.855257209709736,,1.5077842737525242,,,
W.P. KUALA LUMPUR,2023,22232.643,8701780.0,10995.3241427932,60872.0,448.0,59.1,0.31456604906160135,1.0325354032612952,0.42190799147132196,0.0940134073794503,1.8354430379746836,10.100000000000001
